Source,Target,Type,Id,Label,Weight
2755,9179,Directed,0,,10
2957,9176,Directed,1,,472
1695,11778,Directed,2,,57
5912,2282,Directed,3,,3884
5980,934,Directed,4,,2586
4259,934,Directed,5,,1346
4264,934,Directed,6,,1286
4253,934,Directed,7,,2910
5906,934,Directed,8,,2931
4209,934,Directed,9,,978
5979,934,Directed,10,,3669
5912,2271,Directed,11,,4703
5942,651,Directed,12,,472
5980,691,Directed,13,,138
5947,10379,Directed,14,,11
5933,14597,Directed,15,,23
5912,2531,Directed,16,,4359
5912,2455,Directed,17,,4565
4253,2271,Directed,18,,255
5904,465,Directed,19,,2974
4178,944,Directed,20,,42
4218,691,Directed,21,,7988
5858,934,Directed,22,,2156
5906,651,Directed,23,,444
5913,412,Directed,24,,390
5942,691,Directed,25,,449
5942,341,Directed,26,,455
4311,691,Directed,27,,326
2927,9127,Directed,28,,3364
2956,9179,Directed,29,,12014
2927,8908,Directed,30,,3414
5942,935,Directed,31,,655
5904,341,Directed,32,,14014
5819,934,Directed,33,,1694
5983,934,Directed,34,,861
5912,691,Directed,35,,10102
4149,934,Directed,36,,3251
4149,2282,Directed,37,,62
5949,10379,Directed,38,,24
5795,934,Directed,39,,2344
3841,10649,Directed,40,,413
5946,944,Directed,41,,68
5904,935,Directed,42,,3347
4177,10379,Directed,43,,46
5910,7388,Directed,44,,35
5904,9815,Directed,45,,326
5913,691,Directed,46,,1116
5913,341,Directed,47,,1117
5817,934,Directed,48,,3469
5830,934,Directed,49,,3408
4141,691,Directed,50,,342
5965,934,Directed,51,,2981
3086,8908,Directed,52,,1165
5814,934,Directed,53,,2330
5908,7388,Directed,54,,26
4218,651,Directed,55,,7961
4147,944,Directed,56,,1
2244,11805,Directed,57,,428
1814,11784,Directed,58,,404
5912,341,Directed,59,,8438
4261,934,Directed,60,,2301
5911,934,Directed,61,,4134
5912,651,Directed,62,,8359
2244,11750,Directed,63,,432
4180,944,Directed,64,,68
5948,944,Directed,65,,106
4261,2282,Directed,66,,92
3860,10649,Directed,67,,365
5999,691,Directed,68,,1615
5999,651,Directed,69,,1523
5831,691,Directed,70,,540
5775,934,Directed,71,,3160
2859,11420,Directed,72,,229
2591,9086,Directed,73,,1
4258,934,Directed,74,,1235
5947,944,Directed,75,,16
2927,9253,Directed,76,,2931
5831,934,Directed,77,,1177
2927,9109,Directed,78,,2817
2927,8907,Directed,79,,2950
5795,412,Directed,80,,48
5858,935,Directed,81,,44
5847,934,Directed,82,,2004
4150,934,Directed,83,,2873
5821,341,Directed,84,,118
5831,2282,Directed,85,,15
5991,934,Directed,86,,2917
5814,691,Directed,87,,163
5826,341,Directed,88,,230
5910,934,Directed,89,,3103
5803,934,Directed,90,,1679
4181,9905,Directed,91,,1
5912,934,Directed,92,,6036
1809,11784,Directed,93,,1315
4250,934,Directed,94,,601
5902,934,Directed,95,,3819
4340,944,Directed,96,,2
4300,934,Directed,97,,3344
4192,944,Directed,98,,2
4180,14722,Directed,99,,2
4180,9832,Directed,100,,2
4151,934,Directed,101,,4206
5974,934,Directed,102,,3643
6679,9791,Directed,103,,2
7064,944,Directed,104,,2
4226,5653,Directed,105,,772
5904,651,Directed,106,,15992
5966,11133,Directed,107,,1
5779,934,Directed,108,,1916
3877,10649,Directed,109,,429
4226,651,Directed,110,,155
4275,935,Directed,111,,19
5904,691,Directed,112,,15041
5904,412,Directed,113,,2421
5904,2455,Directed,114,,2456
5904,2375,Directed,115,,2909
5904,2531,Directed,116,,6523
1488,11794,Directed,117,,118
2916,9109,Directed,118,,1467
4275,691,Directed,119,,294
5905,934,Directed,120,,394
5981,934,Directed,121,,3942
5965,651,Directed,122,,129
4258,651,Directed,123,,147
5966,934,Directed,124,,1742
4226,934,Directed,125,,15506
4311,934,Directed,126,,1861
5779,691,Directed,127,,1281
4275,934,Directed,128,,878
5913,934,Directed,129,,1905
5779,651,Directed,130,,1139
5983,935,Directed,131,,10
4177,944,Directed,132,,18
5772,934,Directed,133,,239
4113,934,Directed,134,,1722
5825,934,Directed,135,,1023
5904,7401,Directed,136,,454
2957,9179,Directed,137,,1958
1809,11499,Directed,138,,7
4217,934,Directed,139,,662
5943,934,Directed,140,,2500
5976,934,Directed,141,,4490
5959,934,Directed,142,,2525
5968,934,Directed,143,,2250
4113,651,Directed,144,,344
3855,10649,Directed,145,,429
3870,10649,Directed,146,,449
4113,5653,Directed,147,,192
5904,6825,Directed,148,,1094
2917,9252,Directed,149,,3325
2915,9252,Directed,150,,7455
2928,9109,Directed,151,,3269
3200,9252,Directed,152,,3225
3009,9252,Directed,153,,3365
3171,9252,Directed,154,,3326
2928,9253,Directed,155,,3378
2928,8907,Directed,156,,3428
3146,9252,Directed,157,,3218
3057,9252,Directed,158,,3336
2749,9252,Directed,159,,3312
2956,9252,Directed,160,,3368
2936,9252,Directed,161,,3365
5792,934,Directed,162,,4034
4259,935,Directed,163,,62
5815,934,Directed,164,,3857
5994,934,Directed,165,,3595
5881,934,Directed,166,,2129
5772,651,Directed,167,,94
4218,341,Directed,168,,6678
3873,10649,Directed,169,,428
5904,5653,Directed,170,,8112
